novel,category,name,users,school
《女帝奇英传》,D、,千斤坠,李逸; 天恶道人; 恰克图,
《女帝奇英传》,D、,飞花摘叶,李逸; 武玄霜,
《女帝奇英传》,E、,兵刃暗器,,
《女帝奇英传》,E1、,奇兵利刃,使用者,
《女帝奇英传》,E1、,青霜剑,武玄霜,
《女帝奇英传》,E1、,劈云锄,灭度神君,
《女帝奇英传》,E2、,独门暗器,使用者,
《女帝奇英传》,E2、,透穴神针,毒观音; 天恶道人,
《女帝奇英传》,E2、,碎骨钱镖,恶行者,
《女帝奇英传》,E2、,梅花金针,夏侯坚,
《女帝奇英传》,E2、,流星火焰弹,牛布衣,
《女帝奇英传》,E2、,金冠,金冠道人,
《弹指惊雷》,,武功资料,,
《弹指惊雷》,A、,攻击类,,
《弹指惊雷》,A、,金刚六阳手,杨大姑; 杨牧; 齐世杰; 宋鹏举,保定杨家
《弹指惊雷》,A、,惊神笔法,连甘沛,河北连家
《弹指惊雷》,A、,大力金刚手,无,少林派
《弹指惊雷》,A、,冰川剑法,华玉; 桂华生; 桂冰娥; 玉玲珑; 齐世杰; 冷冰儿,
《弹指惊雷》,A、,大手印（掌心雷）,释湛,西藏密宗
《弹指惊雷》,A、,瑜伽气功,齐世杰; 迦象,
《弹指惊雷》,A、,狮子吼,迦象; 缪长风,
《弹指惊雷》,A、,龙象功,迦象; 齐世杰; 大吉法师,烂陀寺
《弹指惊雷》,A、,雷神掌,欧阳冲; 段剑青; 欧阳伯和; 欧阳继; 欧阳业,欧阳家
《弹指惊雷》,A、,雷神指,欧阳冲; 欧阳承,欧阳家
《弹指惊雷》,A、,瑜伽术,大吉法师; 段剑青,
《弹指惊雷》,A、,空手入白刃,齐世杰; 杨炎; 孟华,
《弹指惊雷》,A、,金刚掌,杨炎; 司空照; 宇文雷,
《弹指惊雷》,A、,落英掌法,龙灵珠; 龙则灵; 杨炎,
《弹指惊雷》,A、,龙爪手,龙灵珠; 龙则灵; 杨炎; 齐世杰,
《弹指惊雷》,A、,大擒拿手,杨大姑; 杨牧; 齐世杰; 宋鹏举,
《弹指惊雷》,A、,大须弥剑式,杨炎; 孟华; 丁兆鸣,天山派
《弹指惊雷》,A、,追风剑式,杨炎; 甘武维; 丁兆鸣; 陆敢当; 李务实,天山派
《弹指惊雷》,A、,龙形十八剑,龙灵珠; 龙则灵; 杨炎,
《弹指惊雷》,A、,龙形六十四式,龙灵珠; 杨炎,
《弹指惊雷》,A、,六合刀,齐世杰; 齐建业,保定齐家
《弹指惊雷》,A、,弹指神通,杨炎; 孟华,
《弹指惊雷》,A、,分筋错骨手,杨炎; 孟华,
《弹指惊雷》,A、,铁砂掌,田耕; 杜诚,
《弹指惊雷》,A、,大力鹰爪,彭大遒,
《弹指惊雷》,A、,双环八诀,劳福荫; 劳福庇,崆峒派
《弹指惊雷》,A、,连环夺命剑法,丹丘生,崆峒派
《弹指惊雷》,A、,金刚指,慕容垂,少林派
《弹指惊雷》,A、,般若神功,孟华,烂陀寺
《弹指惊雷》,A、,蹑云剑法,穆扬波; 穆志遥,蓬莱穆家
《弹指惊雷》,A、,鸳鸯连环腿,杨炎,
《弹指惊雷》,A、,擒龙手,杨炎,
《弹指惊雷》,A、,扫叶掌法,萧逸客; 杨炎,
《弹指惊雷》,A、,太阴掌,宇文雷,
《弹指惊雷》,A、,蛇拳,无,
《弹指惊雷》,A、,大摔碑手,宇文雷,
《弹指惊雷》,A、,太清气功,缪长风,
《弹指惊雷》,A、,阴阳双撞掌,段剑青; 齐世杰,烂陀寺
《弹指惊雷》,B、,防御类,,
《弹指惊雷》,B、,少阳神功,冷冰儿; 杨炎,
《弹指惊雷》,B、,沾衣十八跌,段剑青; 尉迟炯; 杨炎; 孟华,
《弹指惊雷》,B、,童子功,定弟,
《弹指惊雷》,C、,轻功类,,
《弹指惊雷》,C、,天罗步法,杨炎,崆峒派
《弹指惊雷》,C、,八步赶蝉,齐世杰; 杨炎,
《弹指惊雷》,C、,草上飞,杨炎,
《弹指惊雷》,C、,醉八仙步法,龙灵珠,
《弹指惊雷》,D、,其他类,,
《弹指惊雷》,D、,千斤坠,齐世杰; 迦象,
《弹指惊雷》,D、,大周天吐纳法,杨炎,
《弹指惊雷》,D、,天魔解体大法,杨炎,
《弹指惊雷》,E、,兵刃暗器,,
《弹指惊雷》,E1、,奇兵利刃,使用者,
《弹指惊雷》,E1、,冰魄寒光剑,冷冰儿; 桂冰娥,
《弹指惊雷》,E1、,玄铁重剑,史白都; 金逐流,
《弹指惊雷》,E1、,玄铁重刀,尉迟炯,
《弹指惊雷》,E1、,青竹杖,大吉法师,
《弹指惊雷》,E1、,紫金钵,大吉法师,
《弹指惊雷》,E2、,独门暗器,使用者,
《弹指惊雷》,E2、,天山神芒,杨炎,
《弹指惊雷》,E2、,毒雾金针烈炎弹,段剑青,
《弹指惊雷》,E2、,冰魄神弹,冷冰儿,
《鸣镝风云录》,,武功资料,,
《鸣镝风云录》,A、,攻击类,,
《鸣镝风云录》,A、,泼风刀法,石冲; 乔拓疆,
《鸣镝风云录》,A、,银枪三十六式,徐子嘉,
《鸣镝风云录》,A、,空手入白刃,陆鸿; 谷啸风; 碧波; 辛柔荑; 宇文化及; 岳夫人; 车卫; 任天吾; 史天泽; 包灵; 赵一行; 安陀生,
《鸣镝风云录》,A、,大擒拿手法,陆鸿; 西门牧野; 朱九穆; 乌蒙; 宇文化及; 楚大鹏; 史宏; 辛龙生; 乔拓疆; 濮阳坚; 白逖; 安陀生; 宇文冲; 拓跋图; 厉擒龙,
《鸣镝风云录》,A、,分筋错骨手,谷啸风; 楚大鹏; 车卫; 任天吾,
《鸣镝风云录》,A、,大力鹰爪功,展一环; 乌蒙,
《鸣镝风云录》,A、,八仙剑法,娄人俊,
《鸣镝风云录》,A、,兰花手,韩佩瑛; 杨洁梅,
《鸣镝风云录》,A、,小擒拿手法,韩佩瑛; 谷啸风; 史宏; 公孙璞; 拓跋图,
《鸣镝风云录》,A、,修罗阴煞功,朱九穆; 金超岳,
《鸣镝风云录》,A、,惊神剑法,韩佩瑛; 辛龙生,
《鸣镝风云录》,A、,鹤膊手,韩大维,
《鸣镝风云录》,A、,连环夺命剑法,谷啸风,武当派
《鸣镝风云录》,A、,七修剑法,任天吾; 谷啸风; 谷夫人; 余化龙,任家
《鸣镝风云录》,A、,弹指神通,韩佩瑛; 奚玉瑾; 厉赛英; 宫昭文; 完颜豪; 车卫; 任天吾; 赵一行; 柳清瑶; 谷啸风; 公孙璞,
《鸣镝风云录》,A、,毒砂掌,洪圻,
《鸣镝风云录》,A、,七煞掌,宫锦云; 宫昭文,
《鸣镝风云录》,A、,化血刀,公孙奇; 公孙璞; 西门牧野; 濮阳坚; 郑友宝,桑家
《鸣镝风云录》,A、,腐骨掌,公孙奇; 公孙璞; 西门牧野; 西门柱石,桑家
《鸣镝风云录》,A、,铁砂掌,濮阳坚; 楚大鹏; 汉子甲; 丁厚; 丁实,
《鸣镝风云录》,A、,惊神指法,公孙璞; 柳元宗; 檀羽冲; 韩希舜; 张大颠; 完颜豪; 完颜长之; 李中柱,
《鸣镝风云录》,A、,雷神掌,金超岳,
《鸣镝风云录》,A、,阴阳五行掌,金超岳,
《鸣镝风云录》,A、,达摩剑法,无,少林派
《鸣镝风云录》,A、,越女剑法,无,峨嵋派
《鸣镝风云录》,A、,百花剑法,奚玉瑾; 奚玉帆,百花谷奚家
《鸣镝风云录》,A、,阴阳双撞掌,朱九穆,
《鸣镝风云录》,A、,铁袖功,朱九穆; 厉擒龙,
《鸣镝风云录》,A、,伏虎拳,无,丐帮
《鸣镝风云录》,A、,降龙掌,无,丐帮
《鸣镝风云录》,A、,（大力）金刚掌,韩大维; 何令威; 武士敦; 陆昆仑,丐帮
《鸣镝风云录》,A、,打狗棒法,刘赶驴; 张大颠; 何令威; 武士敦,丐帮
《鸣镝风云录》,A、,般若掌,韩大维,
《鸣镝风云录》,A、,大衍八式,耿照; 公孙璞; 桑见田; 桑青虹,桑家
《鸣镝风云录》,A、,须弥掌法,明明大师; 公孙璞,
《鸣镝风云录》,A、,绵掌,任天吾; 石棱,
《鸣镝风云录》,A、,锯齿刀法,祝大由,大名府祝家庄
《鸣镝风云录》,A、,乱披风杖（剑）法,孟天香; 奚玉帆,
《鸣镝风云录》,A、,乱环诀,齐岳; 齐泰; 齐岱,崆峒派
《鸣镝风云录》,A、,紫府神箫,檀羽冲,
《鸣镝风云录》,A、,纯阳罡气,檀羽冲,
《鸣镝风云录》,A、,混元一炁功,宇文化及,
《鸣镝风云录》,A、,伏魔杖法,沙衍流,少林派
《鸣镝风云录》,A、,易筋经,沙衍流,少林派
《鸣镝风云录》,A、,铁牌挟剑三十六路盘打,孟霆,
《鸣镝风云录》,A、,落英剑法,奚玉瑾,
《鸣镝风云录》,A、,鸳鸯连环腿,陷空道人,
《鸣镝风云录》,A、,落英掌法,厉赛英; 厉擒龙,
《鸣镝风云录》,A、,大摔碑手,乔拓疆; 史宏; 翦长春; 谷啸风,
《鸣镝风云录》,A、,大力开碑掌,谷啸风,
《鸣镝风云录》,A、,惊神笔法,文逸凡; 辛龙生,
《鸣镝风云录》,A、,紫金刀法,邵元化,
《鸣镝风云录》,A、,龙爪手,邵元化,
《鸣镝风云录》,A、,毒龙掌,丘抗,
《鸣镝风云录》,A、,伏魔掌,张大颠,少林派
《鸣镝风云录》,A、,金刚指,文逸凡,少林派
《鸣镝风云录》,A、,一指禅,无,
《鸣镝风云录》,A、,五毒掌,蒙得志,
《鸣镝风云录》,A、,黑虎拳,史宏,
《鸣镝风云录》,A、,狮子吼,公孙璞; 明明大师; 龙象法王,西藏密宗
《鸣镝风云录》,A、,童子功,辛龙生; 公孙璞; 谷啸风,
《鸣镝风云录》,A、,大五行剑法,辛龙生; 车卫,
《鸣镝风云录》,A、,乱八仙拳路,宇文冲,
《鸣镝风云录》,A、,南派长拳,史天泽,
《鸣镝风云录》,A、,虎爪擒拿手,史天泽,
《鸣镝风云录》,A、,柔云掌法,石棱,
《鸣镝风云录》,A、,小天星掌力,乔拓疆,
《鸣镝风云录》,A、,天罡掌,公孙璞,
《鸣镝风云录》,A、,蹑云剑法,韩佩瑛; 韩大维,
《鸣镝风云录》,A、,五虎断门刀,武士敦,保定刘家
《鸣镝风云录》,A、,七修指,任天吾,
《鸣镝风云录》,A、,七修掌,任天吾,
《鸣镝风云录》,A、,双刀合璧,巴天福; 韩天寿,
《鸣镝风云录》,A、,龙形一字剑,金光灿; 呼延化; 司空涛,
《鸣镝风云录》,A、,龙象功,乌蒙; 龙象法王; 拓跋图,
《鸣镝风云录》,A、,洞仙箫法,李中柱,
《鸣镝风云录》,A、,金刚棒喝,韩大维,
《鸣镝风云录》,A、,天罡尘法,柳清瑶,
《鸣镝风云录》,A、,柔云剑法,柳清瑶,
《鸣镝风云录》,B、,轻功类,,
《鸣镝风云录》,B、,蹑云步法,韩佩瑛,
《鸣镝风云录》,B、,八步赶蝉,谷啸风; 韩佩瑛; 奚玉帆; 辛龙生,
《鸣镝风云录》,B、,醉八仙步法,宇文化及; 奚玉帆; 公孙璞; 赵一行,
《鸣镝风云录》,B、,陆地飞腾,谷啸风,
《鸣镝风云录》,B、,穿花绕树,厉赛英; 宫锦云,
《鸣镝风云录》,B、,天罡步法,车卫; 车淇,
《鸣镝风云录》,C、,防御类,,
《鸣镝风云录》,C、,少阳神功,谷啸风; 奚玉瑾; 奚玉帆; 任天吾,任家
《鸣镝风云录》,C、,沾衣十八跌,公孙璞; 辛龙生; 韩大维; 谷啸风; 车卫,
《鸣镝风云录》,C、,铁布衫,史宏; 汉子乙,
《鸣镝风云录》,C、,护体神功,韩大维; 张大颠; 公孙璞; 白逖; 丘大鸣; 武士敦,
《鸣镝风云录》,D、,其他类,,
《鸣镝风云录》,D、,千斤坠,韩佩瑛; 邵元化; 石棱; 公孙璞; 王宇庭,
《鸣镝风云录》,D、,天魔解体大法,孟天香; 辛柔荑; 朱九穆; 龙象法王; 宫昭文,
《鸣镝风云录》,D、,大周天吐纳法,谷啸风,
《鸣镝风云录》,D、,六合阵,乔拓疆; 钟无霸; 姓焦的汉子; 丘四哥; 三位头目,
《鸣镝风云录》,E、,兵刃暗器,,
《鸣镝风云录》,E1、,奇兵利刃,使用者,
《鸣镝风云录》,E1、,暖玉箫,檀羽冲; 李中柱,
《鸣镝风云录》,E1、,玄铁宝伞,公孙璞,
《鸣镝风云录》,E1、,白金丝线手套,厉赛英,
《鸣镝风云录》,E1、,青竹杖,辛柔荑,
《鸣镝风云录》,E2、,独门暗器,使用者,
《鸣镝风云录》,E2、,毒雾金针子母弹,辛柔荑,
《鸣镝风云录》,E2、,毒雾金针烈炎弹,辛柔荑,
《还剑奇情录》,,武功资料,,
《还剑奇情录》,A、,攻击类,使用者,
《还剑奇情录》,A、,五禽剑法,陈玄机,
《还剑奇情录》,A、,青阳剑法,陈玄机,
《还剑奇情录》,A、,崆峒剑法,陈玄机,
《还剑奇情录》,A、,天龙剑,陈玄机,
《还剑奇情录》,A、,一指禅功,云舞阳,
《还剑奇情录》,A、,达摩剑法,云舞阳,
《还剑奇情录》,A、,奔雷掌,云舞阳,
《还剑奇情录》,A、,阴手阳掌,云舞阳,
《还剑奇情录》,A、,八卦游身掌,云舞阳,
《还剑奇情录》,A、,龙吟虎啸功,云舞阳,
《还剑奇情录》,A、,小擒拿手,罗金峰,
《还剑奇情录》,A、,阴阳双撞掌,罗金峰,
《还剑奇情录》,A、,小天星掌力,罗金峰,
《还剑奇情录》,A、,大摔碑手,罗金峰,
《还剑奇情录》,A、,分筋错骨手,罗金峰,
《还剑奇情录》,A、,金刚掌,罗金峰; 上官天野,
《还剑奇情录》,A、,罗汉拳,上官天野,
《还剑奇情录》,A、,太清气功,牟独逸,
《还剑奇情录》,A、,太清神掌,牟独逸,
《还剑奇情录》,A、,铁砂掌,褚英,
《还剑奇情录》,A、,赤砂掌,褚霸,
《还剑奇情录》,A、,五禽掌法,蒲坚,
《还剑奇情录》,A、,七修剑法,七修道人,
《还剑奇情录》,A、,天罡掌法,石天铎,
《还剑奇情录》,A、,寒阴七煞掌,毕凌风,
《还剑奇情录》,A、,少阳玄功,毕凌风; 毕凌虚; 彭莹玉,
《还剑奇情录》,A、,五雷天心掌,智圆; 智弘; 智广; 周桐; 谷钟,
《还剑奇情录》,B、,轻功类,,
《还剑奇情录》,B、,八步赶蝉,陈玄机,
《还剑奇情录》,B、,轻形换影,陈定方; 陈雪梅,
《还剑奇情录》,C、,其他类,,
《还剑奇情录》,C、,千斤坠,云舞阳,
《还剑奇情录》,D、,兵刃暗器,,
《还剑奇情录》,D1、,奇兵利刃,使用者,
《还剑奇情录》,D1、,昆吾剑,陈定方; 云舞阳,
《还剑奇情录》,D1、,乌金玄丝拂尘,太玄道人,
《冰魄寒光剑》,,武功资料,,
《冰魄寒光剑》,A、,攻击类,,
《冰魄寒光剑》,A、,太极手法,桂华生,
《冰魄寒光剑》,A、,大力金刚掌（手）,桂华生,少林派
《冰魄寒光剑》,A、,五禽掌法,桂华生,
《冰魄寒光剑》,A、,达摩剑法,桂华生,
《冰魄寒光剑》,A、,狮子吼功,桂华生,
《冰魄寒光剑》,A、,铁指玄功,桂华生,
《冰魄寒光剑》,A、,大摔碑手,桂华生,
《冰魄寒光剑》,A、,铁琵琶手,桂华生,
《冰魄寒光剑》,A、,八卦游身掌,桂华生,
《冰魄寒光剑》,A、,伏魔剑,桂华生,
《冰魄寒光剑》,A、,大须弥十七式,桂华生,
《冰魄寒光剑》,A、,金刚指,桂华生,
《冰魄寒光剑》,A、,瑜伽气功,桂华生; 摩农,
《冰魄寒光剑》,A、,大力鹰爪功,桂华生; 华玉,
《冰魄寒光剑》,A、,冰川剑法,桂华生; 华玉,
《冰魄寒光剑》,A、,赤神魔掌,赤神子,
《冰魄寒光剑》,A、,阴阳掌力,提摩达多; 及其两个弟子,
《冰魄寒光剑》,A、,百步神拳,方今明,
《冰魄寒光剑》,A、,大擒拿手,无,鹰爪门
《冰魄寒光剑》,A、,伏魔杖法,无,
《冰魄寒光剑》,B、,轻功类,,
《冰魄寒光剑》,B、,一苇渡江,桂华生,
《冰魄寒光剑》,B、,蜻蜓点水,桂华生,
《冰魄寒光剑》,C、,其他类,,
《冰魄寒光剑》,C、,子午流闭血法,邓南遮; 华玉,
《冰魄寒光剑》,C、,昆罗通关大法,龙叶大师,
《冰魄寒光剑》,C、,瑜伽术,雅德星,
《冰魄寒光剑》,C、,千斤坠,桂华生,
《冰魄寒光剑》,D、,兵刃暗器,,
《冰魄寒光剑》,D1、,奇兵利刃,使用者,
《冰魄寒光剑》,D1、,冰魄寒光剑,华玉,
《冰魄寒光剑》,D1、,腾蛟剑,桂华生; 桂仲明,
《冰魄寒光剑》,D2、,独门暗器,使用者,
《冰魄寒光剑》,D2、,冰魄神弹,华玉; 及其侍女,
《冰魄寒光剑》,D2、,紫金盂钵,黄袍僧人,
《冰河洗剑录》,,武功资料,,
《冰河洗剑录》,A、,攻击类,,
《冰河洗剑录》,A、,猴拳,江海天,
《冰河洗剑录》,A、,金弓十八打,杨柳青,
《冰河洗剑录》,A、,阴阳抓,黑衣女子; 江南; 金世遗; 姬晓风; 江海天,
《冰河洗剑录》,A、,印掌,黑衣女子,
《冰河洗剑录》,A、,铁袖功,白衣女子; 天魔教主,
《冰河洗剑录》,A、,小天星掌力,江南; 文道庄; 唐努珠穆,
《冰河洗剑录》,A、,青城剑法,江南; 萧青峰; 辛隐农,青城派
《冰河洗剑录》,A、,冰川剑法,江南; 陈天宇,
《冰河洗剑录》,A、,绵掌,女子甲; 文道庄; 唐努章峰; 缪夫人,
《冰河洗剑录》,A、,小擒拿手,女子乙,
《冰河洗剑录》,A、,修罗阴煞功,女子丙; 女子丁; 姬晓风; 厉复生; 阳赤符; 孟神通,
《冰河洗剑录》,A、,五行拳,无,华山派
《冰河洗剑录》,A、,连环夺命剑,成滔; 胡乾; 抱拙道人,武当派
《冰河洗剑录》,A、,定珠降魔神功,痛禅上人; 大雄禅师,少林派
《冰河洗剑录》,A、,金环掌,姬晓风; 乌天朗; 崆峒派弟子,崆峒派
《冰河洗剑录》,A、,太清气功,青松道人; 金光大师,峨嵋派
《冰河洗剑录》,A、,太虚真经心法,姬晓风,少林派
《冰河洗剑录》,A、,狮子吼功,竺法兰; 印度和尚,
《冰河洗剑录》,A、,龙拳,竺法兰,
《冰河洗剑录》,A、,玄阴指,姬晓风,
《冰河洗剑录》,A、,分牛掌,无,
《冰河洗剑录》,A、,破碑手,无,
《冰河洗剑录》,A、,铁指禅功,江南; 金世遗,
《冰河洗剑录》,A、,（大力）金刚掌,金世遗; 云召; 云璧; 云琼; 印度和尚; 大悲禅师,少林派
《冰河洗剑录》,A、,混元霹雳掌,丘岩,
《冰河洗剑录》,A、,玄女剑法,谷之华; 谷中莲,
《冰河洗剑录》,A、,铁砂掌,无,
《冰河洗剑录》,A、,玄女掌,谷中莲,
《冰河洗剑录》,A、,一指禅功,金世遗; 江海天,
《冰河洗剑录》,A、,金刚不坏神功,金世遗,
《冰河洗剑录》,A、,血印手,文廷璧,
《冰河洗剑录》,A、,拿（拏）云手,金世遗; 龙叶上人; 宝象法师,
《冰河洗剑录》,A、,龙象功,龙叶上人; 宝象法师,
《冰河洗剑录》,A、,大乘般若掌,金世遗; 龙叶上人; 宝象法师; 唐努章峰; 唐努珠穆; 孟神通; 姬晓风; 黑白摩诃,
《冰河洗剑录》,A、,大须弥剑式,江海天; 唐经天; 唐加源,天山派
《冰河洗剑录》,A、,大周天剑法,金世遗,
《冰河洗剑录》,A、,呼魂唤魄大法,阴圣姑,
《冰河洗剑录》,A、,神蛇掌,阴圣姑,
《冰河洗剑录》,A、,混元一炁功,仲长统,
《冰河洗剑录》,A、,飞花摘叶,华天风,
《冰河洗剑录》,A、,大擒拿手,厉复生; 唐经天,
《冰河洗剑录》,A、,流云剑法,华天风,
《冰河洗剑录》,A、,霹雳掌,欧阳仲和; 欧阳伯和,
《冰河洗剑录》,A、,雷神指,欧阳仲和; 欧阳伯和,
《冰河洗剑录》,A、,少阳罡气,欧阳仲和; 欧阳二娘,
《冰河洗剑录》,A、,（大）须弥掌力,江海天; 唐经天,天山派
《冰河洗剑录》,A、,金钢指力,云召; 喇嘛; 江海天; 唐努珠穆; 唐经天,
《冰河洗剑录》,A、,三象归元,文廷璧,
《冰河洗剑录》,A、,追风剑法,江海天; 唐经天; 唐加源,天山派
《冰河洗剑录》,A、,游身八卦掌,姬晓风,
《冰河洗剑录》,A、,连环鸳鸯腿,江南,
《冰河洗剑录》,A、,流云袖,欧阳二娘,
《冰河洗剑录》,A、,无形罡气,江海天; 谷中莲; 唐努珠穆; 孔雀明伦王,
《冰河洗剑录》,A、,弹指神通,江海天; 唐努珠穆,
《冰河洗剑录》,A、,达摩拳法,大悲禅师; 印度和尚,
《冰河洗剑录》,A、,毒血箭,阴圣姑,
《冰河洗剑录》,A、,醉八仙拳法,无,
《冰河洗剑录》,A、,火龙功,景月上人,
《冰河洗剑录》,A、,大玄阴五行气功,符离渐,
《冰河洗剑录》,A、,柔云剑法,华云碧,
《冰河洗剑录》,A、,三才剑法,马良; 马骏; 马驰,
《冰河洗剑录》,A、,吸星掌,金日磾,
《冰河洗剑录》,A、,赤神掌,赤神子,
《冰河洗剑录》,A、,玄冰掌,玉昆仑,
《冰河洗剑录》,A、,化血神功,童姥姥,
《冰河洗剑录》,A、,阴阳双撞掌,文廷璧,
《冰河洗剑录》,A、,伏魔杖法,翼仲牟,
《冰河洗剑录》,B、,轻功类,,
《冰河洗剑录》,B、,天罗步法,黑衣女子; 江南; 金世遗; 姬晓风; 厉复生; 缪夫人; 唐经天; 萧青峰; 谷中莲,青城派
《冰河洗剑录》,B、,八步赶蝉,江海天; 谷中莲,
《冰河洗剑录》,B、,登萍渡水,江海天,
《冰河洗剑录》,B、,陆地飞腾,姬晓风,
《冰河洗剑录》,C、,防御类,,
《冰河洗剑录》,C、,少阳玄功,谷之华; 谷中莲; 江海天; 吕莹,
《冰河洗剑录》,C、,护体神功,江南; 竺法休; 金世遗; 江海天; 唐努章峰; 唐努珠穆; 姬晓风; 孔雀明伦王; 文廷璧; 谷中莲,
《冰河洗剑录》,C、,金钟罩,张铁肩,
《冰河洗剑录》,C、,铁布衫,张铁肩,
《冰河洗剑录》,C、,沾衣十八跌,大悲禅师,
《冰河洗剑录》,C、,卸力化劲,欧阳二娘,
《冰河洗剑录》,D、,其他类,,
《冰河洗剑录》,D、,颠倒穴道,江南; 黄石道人; 江海天,
《冰河洗剑录》,D、,天遁传音,江海天; 姬晓风; 厉复生; 孟神通; 金世遗,
《冰河洗剑录》,D、,瑜伽术,竺法兰; 印度和尚,
《冰河洗剑录》,D、,千斤坠,江海天; 木华黎,
《冰河洗剑录》,D、,天魔解体大法,厉胜男; 江海天; 金世遗,
《冰河洗剑录》,D、,壁虎游墙功,江海天,
《冰河洗剑录》,D、,回春掌,傅青主; 姬晓风,终南派
《冰河洗剑录》,E、,兵刃暗器护甲,,
《冰河洗剑录》,E1、,奇兵利刃,使用者,
《冰河洗剑录》,E1、,金蚕丝袈裟,竺法休,
《冰河洗剑录》,E1、,裁云剑,厉胜男; 金世遗; 江海天,
《冰河洗剑录》,E1、,寒玉尺,厉复生,
《冰河洗剑录》,E1、,温玉箫,玉玲珑,
《冰河洗剑录》,E1、,游龙剑,唐晓澜; 唐经天; 唐加源,
《冰河洗剑录》,E1、,神蛇索,天魔教主,
《冰河洗剑录》,E1、,冰魄寒光剑,桂冰娥,
《冰河洗剑录》,E1、,霜华剑,吕莹; 谷中莲,
《冰河洗剑录》,E2、,护甲,使用者,
《冰河洗剑录》,E2、,白玉甲,江海天; 谷中莲,
《冰河洗剑录》,E3、,独门暗器,使用者,
《冰河洗剑录》,E3、,冰魄神弹,幽萍; 桂冰娥,
《冰河洗剑录》,E3、,毒雾金针烈炎弹,厉胜男; 天魔教主; 缪夫人,
《冰河洗剑录》,E3、,化血神刀,阴圣姑,
《冰河洗剑录》,E3、,毒指环,阴圣姑,
《冰河洗剑录》,E3、,冷炎搜魂,阴圣姑,
《冰河洗剑录》,E3、,铁鸳鸯,韩璇; 韩二娘,
《冰河洗剑录》,E3、,天山神芒,唐晓澜; 唐经天; 唐加源,
《冰河洗剑录》,E3、,金环,童姥姥,
《侠骨丹心》,,武功资料,,
《侠骨丹心》,A、,攻击类,,
《侠骨丹心》,A、,连环夺命剑,秦元浩; 雷震子,武当派
《侠骨丹心》,A、,弹指神通,秦元浩; 金逐流; 江海天; 金世遗,
《侠骨丹心》,A、,三象神功,文廷璧; 文道庄; 文胜中,
《侠骨丹心》,A、,九宫连环掌法,秦元浩,武当派
《侠骨丹心》,A、,混元一炁功,仲长统,丐帮
《侠骨丹心》,A、,空手入白刃,车锐; 史白都; 龚平野; 欧阳坚; 公孙燕; 帅孟雄; 阳浩; 文道庄,
《侠骨丹心》,A、,五虎断门刀法,车锐; 圆海; 罗大魁,
《侠骨丹心》,A、,大乘般若掌,叶慕华; 叶冲霄; 金逐流,
《侠骨丹心》,A、,惊神指法,金逐流; 江海天,
