novel,name,description,importance
《散花女侠》,柳定庵,武振东邀请的客人。,other
《散花女侠》,寒江道长,武振东邀请的客人。,other
《散花女侠》,毕道凡,“震三界”，毕擎天之父，潮音和尚之友。,other
《散花女侠》,鲁不邪,河南独行大盗。,other
《散花女侠》,彭莹玉,朱元璋、张士诚、毕凌虚之师。,other
《散花女侠》,毕凌虚,彭莹玉的三徒弟，毕擎天的祖先。,other
《散花女侠》,殷天鉴,“九头狮子”，曾为苏州快活林的主人。,other
《散花女侠》,龙天仕,苏州快活林的主人。,other
《散花女侠》,澹台仲元,云重的岳父。,other
《散花女侠》,达摩,罗汉神拳的创造者。,other
《散花女侠》,周健,金刀寨主，周山民之父。,other
《散花女侠》,慧觉禅师,了缘之师。,other
《散花女侠》,江口富山技,日本九段剑客。,other
《散花女侠》,董岳,玄机逸士的大徒弟。,other
《散花女侠》,史定山,董岳之徒，叶成林之师。,other
《散花女侠》,卫春廷,杭州抚台，铁鈜的学生。,other
《散花女侠》,霍行仲,天山隐士，霍天都之父，凌云凤之舅。,other
《散花女侠》,朗月禅师,昆仑派高手。,other
《散花女侠》,岳鸣珂,晦明禅师，霍天都之徒，明末武学大师。,other
《散花女侠》,杨瑄,大学士，张骥的亲戚。,other
《联剑风云录》,张玉虎,张丹枫之徒，张风府之子。,main
《联剑风云录》,龙剑虹,凌云凤的结拜妹妹。,main
《联剑风云录》,凌云凤,原名凌慕华，霍天都之妻。,main
《联剑风云录》,霍天都,代替阳宗海的新“四大剑客”之一，天山剑法的创造者。,main
《联剑风云录》,铁镜心,沐琮的郡马，石惊涛之徒。,other
《联剑风云录》,沐琮,沐国公，铁镜心的岳父。,other
《联剑风云录》,沐燕,铁镜心之妻，沐琮之女。,other
《联剑风云录》,沐璘,沐琮之子，沐燕之弟。,other
《联剑风云录》,张丹枫,天下第一剑客，“四大剑客”之首，玄机门下第三代弟子。,other
《联剑风云录》,石惊涛,“四大剑客”排名第三，铁镜心之师。,other
《联剑风云录》,乌蒙夫,“四大剑客”排名第二。慕容华之师。,other
《联剑风云录》,段澄苍,白族首领。,other
《联剑风云录》,于成珠,“散花女侠”，叶成林之妻，张丹枫之徒。,other
《联剑风云录》,叶成林,东海抗倭义军寨主。,other
《联剑风云录》,毕擎天,丐帮帮主。,other
《联剑风云录》,张宝,保护云南省贡物的武师。,other
《联剑风云录》,杨义,保护云南省贡物的武师。,other
《联剑风云录》,盘天罗,赤霞道人的首徒。,other
《联剑风云录》,蒙元子,赤霞道人的三徒弟。,other
《联剑风云录》,蔡福昌,保护广东省贡物的武师，少林派高手。,other
《联剑风云录》,韦国清,保护广西省贡物的武师，巡抚衙门的总捕头。,other
《联剑风云录》,黑摩诃,专与独脚盗做买卖的印度珠宝商，张玉虎之师。,other
《联剑风云录》,白摩诃,专与独脚盗做买卖的印度珠宝商，张玉虎之师。,other
《联剑风云录》,周志侠,“金刀小侠”，周山民之子。,other
《联剑风云录》,周山民,金刀寨主，北方绿林盟主。,other
《联剑风云录》,石翠凤,周山民之妻。,other
《联剑风云录》,春杏,龙剑虹的丫鬟。,other
《联剑风云录》,夏荷,龙剑虹的丫鬟。,other
《联剑风云录》,秋菊,龙剑虹的丫鬟。,other
《联剑风云录》,冬梅,龙剑虹的丫鬟。,other
《联剑风云录》,罗青,仙霞岭彩虹寨副寨主。,other
《联剑风云录》,祝节,湖南辰州僵尸门长老。,other
《联剑风云录》,祝符,湖南辰州僵尸门长老。,other
《联剑风云录》,孤云道人,武当派二代弟子。,other
《联剑风云录》,屈九疑,武当派二代弟子，孤云道人的师弟。,other
《联剑风云录》,朱宝,江湖买解，朱灵之兄。,other
《联剑风云录》,朱灵,江湖买解，朱宝之妹。,other
《联剑风云录》,成海山,铁镜心的师弟。,other
《联剑风云录》,石文纨,成海山之妻。,other
《联剑风云录》,王钊,巡抚亲兵营的统立。,other
《联剑风云录》,屠刚,“日月轮”，保护浙江省贡物的武师。,other
《联剑风云录》,褚霸,“阴阳手”，保护浙江省贡物的武师。,other
《联剑风云录》,柳泽苍,太湖正寨主。,other
《联剑风云录》,蒋平根,太湖副寨主。,other
《联剑风云录》,阴蕴玉,七阴教教主，姬环、赤霞道人之徒。,other
《联剑风云录》,阴秀兰,阴蕴玉之女。,other
《联剑风云录》,童冠豪,“霹雳手”，驰名北五省的老英雄。,other
《联剑风云录》,殷梅阁,“天雷剑”，驰名北五省的老英雄。,other
《联剑风云录》,朱大雄,“火神弹”，驰名北五省的老英雄。,other
《联剑风云录》,杜赶驴,金刀寨小头目。,other
《联剑风云录》,七星子,武当派第一辈高手。,other
《联剑风云录》,孟玑,“神箭手”，金刀寨副寨主。,other
《联剑风云录》,卜云鹏,关东剑客。,other
《联剑风云录》,魏大猷,关东马场场主。,other
《联剑风云录》,杜子平,“六合枪”，东海抗倭义军副寨主。,other
《联剑风云录》,石霸,泰山帮帮主。,other
《联剑风云录》,褚元,北方丐帮副帮主。,other
《联剑风云录》,范子朋,河南老武师。,other
《联剑风云录》,玄瑛道人,玄妙观观主。,other
《联剑风云录》,林金源,福建老镖客。,other
《联剑风云录》,金硕,各省武师的领袖。,other
《联剑风云录》,朱见深,宪宗皇帝。,other
《联剑风云录》,谷竹均,精于医道的河南老前辈。,other
《联剑风云录》,卢道隐,精于医道的陕西老前辈。,other
《联剑风云录》,刘完达,金刀寨副寨主。,other
《联剑风云录》,万天鹏,万家树之子。,other
《联剑风云录》,白逢源,金刀寨迎宾亭的头领。,other
《联剑风云录》,慕容华,乌蒙夫之徒，长孙玉的师兄。,other
《联剑风云录》,长孙玉,林仙韵之徒。,other
《联剑风云录》,张霸,义军头目。,other
《联剑风云录》,王兆庆,柳泽苍的跟随。,other
《联剑风云录》,大雄道人,符大元的义兄。,other
《联剑风云录》,符大元,“胖金刚”，大雄道人的好友。,other
《联剑风云录》,王德,义军了望台守卫头目。,other
《联剑风云录》,云重,云蕾之兄，董岳之徒。,other
《联剑风云录》,澹台镜明,云重之妻。,other
《联剑风云录》,褚灵石,山东饮马川寨主。,other
《联剑风云录》,戴立翁,河南老武师。,other
《联剑风云录》,聂冬青,江南镇海帮帮主。,other
《联剑风云录》,无色,“少林三大神僧”之一，少林寺监寺。,other
《联剑风云录》,无相,“少林三大神僧”之一，少林寺刑堂。,other
《联剑风云录》,无我,“少林三大神僧”之一，少林寺护经。,other
《联剑风云录》,韩铁樵,“神拳无敌”，氓山派掌门。,other
《联剑风云录》,镇天神君,“铁岭三神君”之一，混天神君、惊天神君之兄。,other
《联剑风云录》,混天神君,“铁岭三神君”之一，镇天神君之弟，惊天神君之兄。,other
《联剑风云录》,惊天神君,“铁岭三神君”之一，混天神君、镇天神君之弟。,other
《联剑风云录》,三、反派人物,,other
《联剑风云录》,乔北溟,天下第一魔头。,other
《联剑风云录》,厉抗天,“大力神”，乔北溟的管家。,other
《联剑风云录》,乔少少,乔北溟之子。,other
《联剑风云录》,阳宗海,原“四大剑客”之一、大内总管，赤霞道人之徒。,other
《联剑风云录》,娄桐荪,原御林军统领。,other
《联剑风云录》,翦长春,御林军统领。,other
《联剑风云录》,东方赫,管神龙大徒弟。,other
《联剑风云录》,贯居,贯仲之子，原两湖盐运使。,other
《联剑风云录》,符君集,大内总管。,other
《联剑风云录》,楚天遥,原名楚大齐，“铁扇书生”，齐鲁之间的独脚大盗。,other
《联剑风云录》,石镜涵,“百毒神君”，姬环之徒。,other
《联剑风云录》,管神龙,“独臂擎天”，赤霞道人的师侄。,other
《联剑风云录》,摘星上人,昆仑星宿海的高手。,other
《联剑风云录》,曲野樵,“胖金刚”，摘星上人的好友。,other
《联剑风云录》,崔元溥,青州高手。,other
《联剑风云录》,古独存,管神龙二徒弟。,other
《联剑风云录》,姬尤,姬环的养子。,other
《联剑风云录》,萨力雄,“大力神魔”，曾称雄漠北，楚天遥的好友。,other
《联剑风云录》,卜绍,萨力雄之徒。,other
《联剑风云录》,青云道人,使剑能手。,other
《联剑风云录》,崔宝山,“神锥”，石三泰首徒，厉抗天的结义兄弟。,other
《联剑风云录》,四、提到人物,,other
《联剑风云录》,赤霞道人,与玄机逸士齐名的高手，盘天罗、阳宗海、蒙元子之师。,other
《联剑风云录》,玄机逸士,叶盈盈之师。,other
《联剑风云录》,祈镇,明英宗,other
《联剑风云录》,张风府,“京都三大高手”之一，原御林军统领，与樊忠、贯仲八拜之交。,other
《联剑风云录》,樊忠,“京都三大高手”之一，与张风府、贯仲八拜之交。,other
《联剑风云录》,贯仲,“京都三大高手”之一，与樊忠、张风府八拜之交。,other
《联剑风云录》,樊英,,other
《联剑风云录》,周健,金刀寨主，周山民之父。,other
《联剑风云录》,叶留宗,叶成林之父。,other
《联剑风云录》,杨子周,仙霞岭彩虹寨大寨主。,other
《联剑风云录》,六如道长,武当派掌门人。,other
《联剑风云录》,无住禅师,少林寺住持。,other
《联剑风云录》,于谦,前朝忠臣、于承珠之父。,other
《联剑风云录》,于冕,于谦养子。,other
《联剑风云录》,张骥,浙江巡抚。,other
《联剑风云录》,周泰,“八卦刀”，保护江苏省贡物的三个武师的师傅。,other
《联剑风云录》,郑国有,丐帮长老。,other
《联剑风云录》,毕凌虚,毕擎天的祖父。,other
《联剑风云录》,潮音和尚,,other
《联剑风云录》,石竹君,青城派女侠。,other
《联剑风云录》,四空道人,武当派第一辈高手。,other
《联剑风云录》,霍行仲,霍天都之父。,other
《联剑风云录》,董牧,“铁砂掌”，董家堡堡主。,other
《联剑风云录》,云蕾,张丹枫之妻。,other
《联剑风云录》,王振,,other
《联剑风云录》,姬环,“毒手神魔”，当世第一使毒高手。,other
《联剑风云录》,庞通,庞家堡堡主。,other
《联剑风云录》,万天游,点苍派剑客。,other
《联剑风云录》,万家树,万天游之子。,other
《联剑风云录》,叶盈盈,“飞天龙女”，玄机门下二代弟子。,other
《联剑风云录》,刘湘云,青城派女侠、万家树之妻。,other
《联剑风云录》,石鸿博,武林中数一数二的人物，娄桐荪之师。,other
《联剑风云录》,林仙韵,“金钩仙子”，乌蒙夫之妻。,other
《联剑风云录》,海若道人,崂山上清宫主持，娄桐荪、厉抗天的好友。,other
《联剑风云录》,李全,浙江巡抚。,other
《联剑风云录》,董岳,“金刚手”，云重之师。,other
《联剑风云录》,石三泰,保定暗器大师。,other
《联剑风云录》,屠龙尊者,摘星上人的好友。,other
《联剑风云录》,殷牧野,北京镇远镖局总镖头。,other
《大唐游侠传》,段珪璋,幽州剑客，著名游侠。,main
《大唐游侠传》,南霁云,“磨剑客”，著名游侠，卜安期大徒弟。,main
《大唐游侠传》,铁摩勒,铁崑仑之子，窦令侃义子，卜安期三徒弟。,main
《大唐游侠传》,夏凌霜,冷雪梅、皇甫华之女，南霁云之妻。,main
《大唐游侠传》,韩芷芬,韩湛之女，铁摩勒的未婚妻。,main
《大唐游侠传》,王燕羽,王伯通之女，展大娘之徒。,main
《大唐游侠传》,史逸如,大唐进士，段珪璋的好友。,other
《大唐游侠传》,卢梦蝶,史逸如之妻，冷雪梅的表妹。,other
《大唐游侠传》,窦缐娘,段珪璋之妻，“窦家五虎”之妹。,other
《大唐游侠传》,空空儿,天下第一神偷。,other
《大唐游侠传》,展元修,展龙飞之子，王燕羽的师兄。,other
《大唐游侠传》,段克邪,段珪璋之子，空空儿的师弟。,other
《大唐游侠传》,薛红缐,真名史若梅，史逸如之女。,other
《大唐游侠传》,窦令侃,“窦家五虎”的老大，“绿林三霸”之一，飞虎山寨主。,other
《大唐游侠传》,窦令申,“窦家五虎”的老二。,other
《大唐游侠传》,窦令符,“窦家五虎”的老三。,other
《大唐游侠传》,窦令策,“窦家五虎”的老四。,other
《大唐游侠传》,窦令湛,“窦家五虎”的老五。,other
《大唐游侠传》,唐玄宗,大唐皇帝。,other
《大唐游侠传》,杨玉环,唐玄宗宠爱的贵妃。,other
《大唐游侠传》,高力士,唐玄宗宠爱的太监。,other
《大唐游侠传》,薛嵩,安禄山亲军统领，史若梅的养父。,other
《大唐游侠传》,王伯通,“绿林三霸”之一，龙眠谷寨主。,other
《大唐游侠传》,吴筠,湖州司马。,other
《大唐游侠传》,李白,“诗仙”，号“青莲居士”，翰林学士。,other
《大唐游侠传》,贺知章,著名诗人。,other
《大唐游侠传》,崔宗之,,other
《大唐游侠传》,张旭,“草圣”。,other
《大唐游侠传》,郭子仪,九原郡守。,other
《大唐游侠传》,尉迟北,“大内三大高手”之一，龙骑都尉，尉迟恭后人。,other
《大唐游侠传》,秦襄,“大内三大高手”之一，龙骑都尉，秦琼后人。,other
《大唐游侠传》,雷万春,卜安期二徒弟。,other
《大唐游侠传》,张巡,睢阳太守。,other
《大唐游侠传》,卜安期,“磨镜老人”，江湖侠隐。,other
《大唐游侠传》,聂锋,安禄山的副将，薛嵩的表弟。,other
《大唐游侠传》,聂隐娘,聂锋之女。,other
《大唐游侠传》,李龟年,乐工。,other
《大唐游侠传》,皇甫嵩,“江湖三异丐”之一，“江湖七怪”之一，“西岳神龙”，华山派名宿。,other
《大唐游侠传》,卫越,“江湖三异丐”之一，“疯丐”，丐帮长老。,other
《大唐游侠传》,车迟,“江湖三异丐”之一，“三手神丐”，“酒丐”。,other
《大唐游侠传》,冷雪梅,“白马女侠”，夏声涛之妻。,other
《大唐游侠传》,小红,薛嵩派来服侍卢梦蝶的丫鬟。,other
《大唐游侠传》,史彰,窦家幽州分舵的总管。,other
《大唐游侠传》,程通,史彰的副手。,other
《大唐游侠传》,杜百英,“金剑青囊”，江湖游侠。,other
《大唐游侠传》,韩湛,天下第一点穴名家。,other
《大唐游侠传》,龙藏上人,,other
《大唐游侠传》,辛天雄,金鸡山寨主。,other
《大唐游侠传》,屠龙,王伯通的副手。,other
《大唐游侠传》,褚遂,王伯通的副手。,other
《大唐游侠传》,祝三胜,绿林强盗。,other
《大唐游侠传》,符凌霄,陕南著名游侠。,other
《大唐游侠传》,展大娘,展龙飞之妻，展元修之母。,other
《大唐游侠传》,长乐公主,唐玄宗之女。,other
《大唐游侠传》,郭从瑾,杜百英之师。,other
《大唐游侠传》,王思礼,河源军使，河西、陇右节度使。,other
《大唐游侠传》,杨暄,户部侍郎，杨国忠之子。,other
《大唐游侠传》,吕甫,扶风郡守。,other
《大唐游侠传》,李亨,太子，后自立为肃宗。,other
《大唐游侠传》,妙慧师太,薛红缐、聂隐娘之师，展大娘的师姐。,other
《大唐游侠传》,雷青海,乐工，“琵琶第一手”，雷万春的胞兄。,other
《大唐游侠传》,武铁樵,丐帮首领，卫越的师弟。,other
《大唐游侠传》,李猪儿,安庆绪的太监总管。,other
《大唐游侠传》,程坚,羊牧劳二徒弟。,other
《大唐游侠传》,刘海,百夫长，薛嵩家的小厮。,other
《大唐游侠传》,广智禅师,福隆寺方丈。,other
《大唐游侠传》,转轮法王,金碧宫主人。,other
《大唐游侠传》,朱灵,朱旭之子，朱宝之兄。,other
《大唐游侠传》,朱宝,朱旭之子，朱灵之弟。,other
《大唐游侠传》,天徳禅师,转轮法王大徒弟。,other
《大唐游侠传》,华良,王伯通山寨的三堂总头目。,other
《大唐游侠传》,牟沧浪,虬髯客的徒孙。,other
《大唐游侠传》,归夫人,藏灵子之妻，段克邪之师。,other
《大唐游侠传》,许远,张巡的副帅。,other
《大唐游侠传》,三、反派人物,,other
《大唐游侠传》,安禄山,三镇节度使，大燕皇帝。,other
《大唐游侠传》,杨国忠,宰相，杨玉环的从兄。,other
《大唐游侠传》,田承嗣,原江湖大盗，安禄山手下。,other
《大唐游侠传》,史思明,安禄山的副手。,other
《大唐游侠传》,张忠志,安禄山账下四大高手之一。,other
《大唐游侠传》,令狐达,御林军都谓。,other
《大唐游侠传》,宇文通,“大内三大高手”之一，龙骑都尉。,other
《大唐游侠传》,牛千斤,大内高手。,other
《大唐游侠传》,龙万钧,大内高手。,other
《大唐游侠传》,精精儿,空空儿的师弟。,other
《大唐游侠传》,石一龙,“阴阳刀”，西凉独脚大盗，石一虎的兄长。,other
《大唐游侠传》,石一虎,“阴阳刀”，西凉独脚大盗，石一龙的弟弟。,other
《大唐游侠传》,王龙客,王伯通之子，转轮法王之徒。,other
《大唐游侠传》,武令珣,安禄山手下得力将领。,other
《大唐游侠传》,贺崑,混入郭子仪军中的奸细。,other
《大唐游侠传》,阿奢黎,安禄山礼聘的大法师。,other
《大唐游侠传》,龟元道人,邪派中人。,other
《大唐游侠传》,韩荆,王伯通的心腹勇士。,other
《大唐游侠传》,邓奢,王伯通的心腹勇士。,other
《大唐游侠传》,宝相禅师,刺客。,other
《大唐游侠传》,羊牧劳,“三孽畜”之一，“七步追魂手”，安禄山礼聘的“大内总管”。,other
《大唐游侠传》,马远行,“三孽畜”之一，羊牧劳的结义兄弟。,other
《大唐游侠传》,牛不耕,“三孽畜”之一，羊牧劳的结义兄弟。,other
《大唐游侠传》,苏秉,幽州道行兵总管。,other
《大唐游侠传》,杜绶,安禄山的“龙骑都尉”。,other
《大唐游侠传》,司空拔,安禄山的“龙骑都尉”。,other
《大唐游侠传》,洪大存,安禄山的“禁卫军副统领”。,other
《大唐游侠传》,单雄,羊牧劳大徒弟。,other
《大唐游侠传》,尚崑,羊牧劳三徒弟。,other
《大唐游侠传》,蒙贯,海盗出身，安禄山的“御前侍卫”。,other
《大唐游侠传》,沐安,安禄山的“羽林军统带”。,other
《大唐游侠传》,令狐潮,史思明手下大将，令狐达之兄。,other
《大唐游侠传》,尹子奇,令狐潮的神箭营统领，军中第一神箭手。,other
《大唐游侠传》,皇甫华,皇甫嵩的同胞弟弟。,other
《大唐游侠传》,四、提到人物,,other
《大唐游侠传》,李瑁,寿王，唐玄宗之子。,other
《大唐游侠传》,安延偃,安禄山后父。,other
《大唐游侠传》,张友圭,幽州节度使。,other
《大唐游侠传》,李林甫,奸相。,other
《大唐游侠传》,铁崑仑,“绿林三霸”之一，燕山寨主，铁摩勒之父。,other
《大唐游侠传》,封季常,范阳老英雄。,other
《大唐游侠传》,怀仁,长安寺院主持，段珪璋知交。,other
《大唐游侠传》,杜甫,“诗圣”。,other
《大唐游侠传》,哥舒翰,陇西节度使，后降安禄山。,other
《大唐游侠传》,尉迟南,禁军统领，尉迟北之兄。,other
《大唐游侠传》,聂鹏,范阳琢州老剑客，聂锋之父。,other
《大唐游侠传》,李諅,乐工。,other
《大唐游侠传》,花奴,乐工。,other
《大唐游侠传》,贺怀智,乐工。,other
《大唐游侠传》,郑观音,乐工。,other
《大唐游侠传》,张野狐,乐工。,other
《大唐游侠传》,黄幡,乐工。,other
《大唐游侠传》,定一禅师,少林派弟子。,other
《大唐游侠传》,夏声涛,冷雪梅的丈夫。,other
《大唐游侠传》,公孙湛,内廷侍卫，与夏声涛有私仇。,other
《大唐游侠传》,冯神威,中使。,other
《大唐游侠传》,达奚殉,大臣。,other
《大唐游侠传》,杨光翻,太原留守，杨国忠的同族。,other
《大唐游侠传》,封常清,安西、范阳、平卢节度使。,other
《大唐游侠传》,张介然,河南节度使。,other
《大唐游侠传》,安庆宗,安禄山的长子。,other
《大唐游侠传》,安庆绪,安禄山的次子。,other
《大唐游侠传》,荣义郡主,唐玄宗的侄女，安庆绪之妻。,other
《大唐游侠传》,郭讷,陈留太守。,other
《大唐游侠传》,颜真卿,平原太守。,other
《大唐游侠传》,展龙飞,大魔头。,other
《大唐游侠传》,陈元礼,龙虎大将军。,other
《大唐游侠传》,崔光远,少尹，留守将军。,other
《大唐游侠传》,魏方进,京兆尹，置顿使。,other
《大唐游侠传》,公孙大娘,女剑师。,other
《大唐游侠传》,李辅国,太监，东宫内侍。,other
《大唐游侠传》,韦见素,大臣。,other
《大唐游侠传》,薛景仙,陈仓县令。,other
《大唐游侠传》,李光弼,,other
《大唐游侠传》,玄空子,“武林七奇”之一。,other
《大唐游侠传》,严庄,安禄山的“一品大臣”。,other
《大唐游侠传》,安庆恩,安禄山之子。,other
《大唐游侠传》,王维,诗人。,other
《大唐游侠传》,藏灵子,俗名归方震，空空儿、精精儿之师。,other
《大唐游侠传》,朱旭,朱雀山寨主。,other
《大唐游侠传》,虬髯客,严一羽之师。,other
《大唐游侠传》,严一羽,牟沧浪之师。,other
《大唐游侠传》,贺兰进明,元帅。,other
《大唐游侠传》,刘彦,郭子仪麾下大将。,other
《大唐游侠传》,李天敖,“李麻子”。,other
《慧剑心魔》,展伯承,展元修之子。,main
《慧剑心魔》,铁凝,铁摩勒之女，辛芷姑的关门弟子。,main
《慧剑心魔》,褚葆龄,褚遂的孙女。,main
《慧剑心魔》,刘芒,刘振之子。,main
