category,name,novels
B、,滚地堂（刀法）,大唐; 龙凤; 天骄; 狂侠; 风云; 散花; 联剑; 风雷; 游剑; 牧野; 剑网; 幻剑; 草莽; 龙虎
B、,阴阳刀法,大唐
B、,（五门）八卦刀法,大唐; 龙凤
B、,乱披风刀法,慧剑; 狂侠; 云海
B、,三十六式快刀,大唐
B、,降龙刀法,云海
B、,回环刀法,龙凤; 龙虎
B、,断魂刀,慧剑
B、,泼风刀法,慧剑; 狂侠; 瀚海; 鸣镝; 散花; 侠骨; 龙虎
B、,六合刀法,天骄; 弹指; 绝塞; 草莽
B、,洪家刀,狂侠
B、,扫叶刀法,瀚海
B、,劈山刀,瀚海
B、,杨令公金刀刀法,瀚海
B、,金刀刀法,牧野
B、,锯齿（镰）刀法,鸣镝; 草莽
B、,（八卦）紫金刀法,鸣镝; 风云; 七剑
B、,双刀合璧,鸣镝
B、,风雷刀法,塞外
B、,月牙刀法,散花
B、,神风刀法,散花
B、,罗汉神刀,散花
B、,八卦紫金刀,江湖
B、,玄机刀法,联剑
B、,蟠龙刀法,广陵; 牧野
B、,云家刀法,广陵
B、,闪电刀法,广陵
B、,孟家（快）刀法,广陵; 牧野
B、,石家快刀,广陵
B、,追风刀刀法,广陵
B、,绞刀刀法,七剑; 游剑
B、,钩镰刀,七剑
B、,盘龙刀法,江湖
B、,降龙刀法,云海
B、,游龙刀法,云海
B、,峨嵋刀法,云海
B、,回回刀法,风雷
B、,锁剑法,游剑
B、,四平刀,游剑
B、,韩家刀法,牧野
B、,梅花奇门刀法,草莽
B、,董派刀法,草莽
B、,单刀法,草莽
B、,六阳刀法,草莽
C、,掌、手,返回最上端
C、,（大力）金刚手（掌力）,女帝; 大唐; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 还剑; 萍踪; 散花; 联剑; 广陵; 白发; 武当; 七剑; 江湖; 冰魄; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网; 幻剑; 龙虎
C、,小擒拿手法,女帝; 大唐; 慧剑; 狂侠; 瀚海; 鸣镝; 风云; 还剑; 散花; 武当; 冰川; 云海; 风雷; 游剑; 牧野; 冰魄; 冰川
C、,伏魔掌法,女帝; 鸣镝; 风云; 散花; 绝塞
C、,腐骨（神）掌,女帝; 慧剑; 狂侠; 鸣镝
C、,伏龙掌法,女帝
C、,大擒拿手法,女帝; 大唐; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 联剑; 广陵; 白发; 武当; 塞外; 七剑; 江湖; 冰魄; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网; 龙虎
C、,大摔碑手,女帝; 大唐; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 还剑; 散花; 联剑; 广陵; 白发; 塞外; 七剑; 江湖; 冰魄; 云海; 冰河; 风雷; 游剑; 牧野; 弹指; 绝塞; 剑网; 幻剑; 龙虎
C、,空手入白刃,女帝; 大唐; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 联剑; 广陵; 武当; 塞外; 七剑; 江湖; 云海; 风雷; 侠骨; 游剑; 牧野; 弹指; 剑网; 草莽
C、,小天星掌力,女帝; 大唐; 天骄; 狂侠; 鸣镝; 风云; 还剑; 散花; 联剑; 武当; 七剑; 江湖; 云海; 冰河; 游剑; 牧野; 绝塞; 剑网; 草莽; 龙虎
C、,阴阳双撞掌,女帝; 鸣镝; 还剑; 白发; 冰河; 侠骨; 牧野; 弹指
C、,霹雳掌,大唐; 天骄; 狂侠; 风云; 广陵; 冰河; 风雷
C、,混元霹雳掌,联剑; 冰河
C、,虎爪擒拿手法,大唐; 鸣镝; 风云; 游剑
C、,擒拿十八掌,白发
C、,擒拿夺命手,江湖
C、,擒拿法,龙虎
C、,龙形八掌,江湖
C、,分筋错骨手法,大唐; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 还剑; 散花; 联剑; 广陵; 武当; 七剑; 江湖; 云海; 风雷; 游剑; 牧野; 弹指; 幻剑; 草莽
C、,绵掌,大唐; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 联剑; 广陵; 白发; 七剑; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 绝塞; 剑网; 幻剑; 龙虎
C、,五禽掌法,大唐; 龙凤; 慧剑; 狂侠; 还剑; 江湖; 冰魄
C、,阴阳双毒掌,大唐
C、,阴阳五行掌,天骄; 狂侠; 鸣镝; 冰川; 剑网
C、,阴阳劈风掌,白发; 七剑
C、,阴阳掌力（法）,狂侠; 联剑; 广陵; 武当; 冰魄
C、,铁沙掌,天骄; 七剑; 江湖; 龙虎
C、,铁砂掌,大唐; 瀚海; 鸣镝; 风云; 还剑; 散花; 联剑; 广陵; 白发; 江湖; 云海; 冰河; 侠骨; 游剑; 弹指; 剑网; 龙虎
C、,七步追魂掌法,大唐; 龙凤; 慧剑
C、,奇门七绝掌,风云
C、,混元掌力,狂侠; 风云
C、,降龙（伏虎）掌法,鸣镝; 散花; 云海
C、,九宫神行掌,白发; 七剑
C、,九宫（八卦连环）掌,冰川; 侠骨
C、,破碑手,龙凤; 冰河
C、,天罡掌法,龙凤; 鸣镝; 还剑; 云海; 风雷
C、,玄女掌法,云海; 冰河
C、,伏虎掌,龙凤
C、,连环奔雷掌,侠骨
C、,连环掌法,白发
C、,无相掌力,狂侠
C、,（大乘）般若掌,龙凤; 狂侠; 瀚海; 鸣镝; 冰河; 风雷; 侠骨; 龙虎
C、,大手印（掌心雷）,龙凤; 慧剑; 风云; 广陵; 武当; 云海; 风雷; 游剑; 弹指
C、,（八卦）游身掌法,龙凤; 天骄; 瀚海; 风云; 还剑; 萍踪; 七剑; 江湖; 冰魄; 云海; 冰河; 风雷; 草莽
C、,修罗掌,龙凤
C、,闭目换掌,游剑
C、,七步朱砂掌,风雷
C、,朱砂掌,狂侠
C、,大挪移五行推手,剑网
C、,穿云手,慧剑
C、,五虎夺魄掌法,龙虎
C、,天魔掌,广陵
C、,天龙掌法,慧剑; 塞外; 七剑
C、,迷踪掌法,天骄; 江湖
C、,滚地掌,天骄
C、,龙爪手（擒龙手）,天骄; 狂侠; 瀚海; 鸣镝; 广陵; 武当; 弹指; 绝塞; 剑网; 幻剑
C、,化血刀,天骄; 狂侠; 鸣镝
C、,血砂掌,天骄
C、,雷神掌,天骄; 狂侠; 鸣镝; 风云; 风雷; 侠骨; 游剑; 牧野; 弹指; 剑网
C、,（五丁）开山掌法,狂侠; 白发; 冰川
C、,太清神掌,还剑
C、,乱环掌法,狂侠
C、,落英掌法,狂侠; 鸣镝; 侠骨; 游剑; 弹指
C、,拂云手,狂侠; 瀚海; 云海; 侠骨
C、,达摩掌法,瀚海; 七剑; 冰川
C、,扫叶掌法,弹指; 绝塞
C、,天雷掌,瀚海
C、,兰花手,鸣镝
C、,鹤膊手,鸣镝; 白发; 绝塞
C、,七修掌,鸣镝
C、,七煞掌,鸣镝; 白发; 牧野
C、,寒阴七煞掌,还剑
C、,毒砂掌,鸣镝; 风云; 萍踪; 散花; 白发; 侠骨; 剑网
C、,阴风毒砂掌,萍踪; 白发
C、,（大）须弥掌式,鸣镝; 七剑; 冰川; 冰河; 风雷; 侠骨; 绝塞
C、,（大力）开碑掌,鸣镝; 风雷
C、,毒龙掌,鸣镝; 萍踪
C、,五毒掌,鸣镝
C、,柔云掌法,鸣镝
C、,青砂掌,风云
C、,黑煞掌,风云
C、,金鹏十八变掌法,风云
C、,铁琵琶手（掌）,风云; 萍踪; 散花; 七剑; 冰魄; 云海; 游剑; 绝塞; 龙虎
C、,（大周天）五行掌法,风云; 广陵
C、,奔雷掌,还剑; 广陵; 游剑
C、,阴手阳掌,还剑; 云海
C、,赤砂掌,还剑; 萍踪; 游剑
C、,五雷天心掌,还剑
C、,太极掌（手法）,武当; 冰魄; 草莽; 龙虎
C、,风雷掌法,武当
C、,（百变）玄机掌法,萍踪; 散花; 联剑
C、,轰雷掌,萍踪
C、,无刀术,散花
C、,惊涛掌法,散花
C、,五擒掌,散花
C、,七擒掌,白发
C、,摘星手,散花; 联剑
C、,十八罗汉手,草莽
C、,雷霆八卦掌,白发
C、,八卦掌,剑网; 龙虎
C、,七阴（毒）掌,联剑; 冰川
C、,九阳毒掌,联剑
C、,大力千斤掌,联剑
C、,赤煞掌,联剑
C、,凌云掌,江湖
C、,劈挂掌,广陵; 白发; 草莽; 龙虎
C、,追风掌式,冰川; 侠骨
C、,天龙十八掌法,草莽
C、,撑椽手,白发
C、,七星掌,龙虎
C、,三煞掌,武当
C、,无极掌法,七剑; 江湖
C、,截手法,七剑; 草莽
C、,蹑云掌法,游剑
C、,金钢大力手法,七剑
C、,铁掌,江湖
C、,灵山掌法,江湖; 冰川
C、,雕手,江湖
C、,风车手,江湖
C、,游龙掌,江湖
C、,飞龙掌,江湖
C、,磨身掌,江湖
C、,赤神（魔）掌,冰魄; 冰河
C、,血神掌,冰川; 游剑
C、,唐家掌法,冰川
C、,离火坎水掌法,冰川
C、,金刚捉妖手法,冰川
C、,催精迷神手法,云海
C、,毒血掌,云海
C、,红砂手,云海
C、,大藏掌血印手,云海
C、,摧心掌,云海
C、,金环掌,云海; 冰河
C、,印掌,冰河
C、,分牛掌,冰河
C、,血印手,冰河
C、,拿（拏）云手,冰河
C、,排云手,侠骨
C、,神蛇掌,冰河
C、,吸星掌,冰河
C、,玄冰掌,冰河
C、,（金刚）六阳手,风雷; 游剑; 牧野; 弹指; 绝塞; 剑网
C、,推磨掌力,侠骨
C、,虎爪手,侠骨
C、,黑砂掌,游剑
C、,玄阴掌,游剑
C、,伏波掌,游剑
C、,太阴掌,弹指
C、,明驼掌法,绝塞
C、,火焰刀,绝塞; 剑网; 幻剑
C、,寒冰掌,绝塞; 剑网; 幻剑
C、,蝴蝶掌法,草莽; 龙虎
C、,金豹掌,龙虎
C、,黑沙掌,龙虎
C、,红沙掌,龙虎
C、,金沙掌,龙虎
C、,铁扫帚,龙虎
D、,拳法,返回最上端
D、,通臂（神）拳,女帝; 龙凤; 游剑; 幻剑; 草莽
D、,罗汉（五行神）拳,女帝; 大唐; 狂侠; 瀚海; 风云; 还剑; 萍踪; 散花; 联剑; 武当; 七剑; 江湖; 云海; 游剑; 剑网; 龙虎
D、,北派长拳,大唐
D、,南派长拳,鸣镝
D、,太祖长拳,飞凤; 狂侠
D、,长拳,慧剑; 萍踪; 散花; 七剑; 江湖; 龙虎
D、,降龙伏虎拳,白发
D、,（罗汉）伏虎拳,天骄; 狂侠; 瀚海; 鸣镝; 白发; 塞外; 江湖; 绝塞
D、,醉八仙拳法,慧剑; 云海; 冰河; 龙虎
D、,五行拳,慧剑; 狂侠; 瀚海; 七剑; 江湖; 冰川; 云海; 冰河; 游剑; 剑网; 龙虎
D、,迷踪拳,萍踪; 冰川; 草莽
D、,黑虎拳,狂侠; 鸣镝; 白发; 江湖; 云海
D、,六合拳,绝塞
D、,达摩拳法,七剑; 冰河
D、,乱八仙拳路,鸣镝
D、,大士拳,风云
D、,鸭形拳,风云
D、,猴拳,风云; 江湖; 冰河; 游剑; 牧野
D、,（滚）地堂拳,风云; 散花; 龙虎
D、,太极拳法（绵拳）,萍踪; 散花; 联剑; 白发; 武当; 七剑; 江湖; 草莽; 龙虎
D、,大力神拳,萍踪
D、,闯少林拳,联剑; 云海
D、,百步神拳,联剑; 七剑; 冰魄; 冰川; 风雷
D、,野（铁）狐拳,白发
D、,神化少林,武当
D、,四平拳,武当; 侠骨; 游剑
D、,大力千斤拳,七剑; 龙虎
D、,无极拳,七剑
D、,岳家（散）拳,江湖; 龙虎
D、,太祖拳,江湖
D、,龙拳,冰河
D、,武家拳,游剑
D、,蛇拳,弹指
D、,苦恼拳,绝塞
D、,梅花拳,草莽; 龙虎
D、,形意拳,龙虎
E、,指、爪,返回最上端
E、,（大力）鹰爪功,女帝; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 广陵; 白发; 武当; 七剑; 江湖; 冰魄; 冰川; 云海; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网; 幻剑
E、,金刚指（力）,女帝; 龙凤; 天骄; 飞凤; 狂侠; 鸣镝; 散花; 联剑; 广陵; 江湖; 冰魄; 冰川; 云海; 冰河; 风雷; 游剑; 弹指
E、,弹指神通,女帝; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 联剑; 广陵; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网; 幻剑
E、,一指禅功,女帝; 大唐; 龙凤; 狂侠; 鸣镝; 还剑; 萍踪; 散花; 联剑; 广陵; 冰川; 云海; 冰河; 风雷; 侠骨; 剑网
E、,阴阳（白骨）抓,云海; 冰河
E、,旋风天魔指,大唐
E、,九宫神指,龙凤
E、,玄阴指,龙凤; 狂侠; 联剑; 云海; 冰河; 侠骨; 游剑; 牧野
E、,般若神指,狂侠
E、,穿云指,联剑
E、,雷神指,狂侠; 冰河; 游剑; 弹指; 剑网
E、,隔（凌）空点穴,狂侠; 云海
E、,惊神指法,狂侠; 鸣镝; 风云; 侠骨; 牧野
E、,七修指,鸣镝
E、,铁指铜琶,萍踪
E、,铁指禅（玄）功,联剑; 塞外; 七剑; 江湖; 冰魄; 冰川; 云海; 冰河; 剑网
E、,猫鹰爪,江湖
E、,神魔抓法,冰川
E、,鬼爪,云海
E、,逍遥指,云海
E、,鸟爪功,侠骨
E、,擒龙抓,绝塞
E、,探骊指法,云海
F、,腿、脚,返回最上端
F、,鸳鸯（进步）连环腿,大唐; 狂侠; 瀚海; 鸣镝; 风云; 散花; 广陵; 白发; 七剑; 江湖; 冰川; 云海; 冰河; 侠骨; 弹指; 绝塞; 剑网; 龙虎
F、,连环夺命鸳鸯脚,冰川
F、,连环弹腿,联剑
F、,连环无影脚,江湖
F、,地堂腿,七剑
F、,谭腿,散花
F、,莲花腿,散花
G、,杖、棒、棍、拐,返回最上端
G、,伏魔杖法,女帝; 天骄; 狂侠; 鸣镝; 风云; 萍踪; 白发; 江湖; 冰魄; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 剑网
G、,乱披风拐（杖）法,龙凤; 狂侠; 鸣镝; 风雷; 剑网
G、,降魔杖法,大唐; 龙凤
G、,虬龙杖法,龙凤
G、,降龙杖（棒、拐）法,龙凤; 萍踪; 散花; 联剑; 七剑; 江湖
G、,伏虎棍法,江湖
G、,伏魔拐法,江湖
G、,天魔（龙）杖法,慧剑; 散花; 七剑; 江湖; 冰川; 风雷
G、,天摩杖法,萍踪
G、,二圣棒,飞凤; 狂侠
G、,虎尾棍法,狂侠; 龙虎
G、,打狗棒法,狂侠; 瀚海; 鸣镝; 风云
G、,龙吟杖法,草莽
G、,潜龙护宝盘旋十八打棒法,萍踪
G、,缠身十八打棍法,萍踪
G、,疯魔杖法,广陵; 风雷; 牧野; 幻剑
G、,披风拐法,冰川
G、,荡魔杖法,江湖
G、,盘龙拐法,云海
G、,天竺杖法,冰川
G、,雷电棒法,云海
G、,神拐十八打,云海
G、,狼牙棒法,风雷
G、,太祖棍法,牧野
G、,萨回回棍法,草莽
H、,笔、镢、箫,返回最上端
H、,长镢点穴法,女帝
H、,惊神笔法,慧剑; 天骄; 飞凤; 狂侠; 鸣镝; 广陵; 游剑; 弹指; 剑网; 幻剑
H、,四笔点八脉,云海; 侠骨; 牧野
H、,双笔点四脉,天骄; 风云; 牧野; 幻剑
H、,二笔点双脉,天骄
H、,狂草（书）笔法,天骄
H、,楷书笔法,天骄
H、,石鼓文笔法,天骄
H、,惊神笔法,风云
H、,紫府神箫,狂侠; 鸣镝
H、,洞仙箫法,鸣镝
H、,金鹏十八变,联剑
H、,连家笔法,武当
I、,鞭法,返回最上端
I、,六合鞭法,女帝
I、,降龙鞭法,女帝
I、,虬龙鞭法,龙凤; 狂侠; 龙虎
I、,水磨鞭法,龙凤
I、,连环鞭法,风雷
I、,尉迟鞭法,慧剑; 狂侠; 风云; 广陵; 风雷; 绝塞
I、,天龙鞭法,狂侠
I、,金龙鞭法,风雷
J、,枪法,返回最上端
J、,中平枪,女帝
J、,夺魄枪,慧剑
J、,青海哈回子枪法,狂侠
J、,金龙十八变枪法,狂侠
J、,银枪三十六式,鸣镝
J、,六合枪,江湖
J、,太极枪法,草莽
J、,金枪十（廿）四式,草莽; 龙虎
J、,梅花枪法,龙虎
K、,特殊兵器,返回最上端
K、,混元（八卦）牌法,大唐; 萍踪; 龙虎
K、,杀手锏,大唐
K、,金弓十八打（招）,大唐; 瀚海; 广陵; 冰川; 云海; 冰河
K、,铁袖（神）功,大唐; 狂侠; 鸣镝; 风云; 联剑; 广陵; 云海; 冰河; 风雷; 绝塞; 剑网
K、,流云（飞）袖,大唐; 龙凤; 萍踪; 七剑; 江湖; 冰川; 云海; 冰河; 剑网
K、,降魔杵法,大唐
K、,定（佛）珠降魔神功,云海; 冰河; 风雷
K、,辟（劈）云锄法,大唐; 风云; 江湖
K、,天罡拂尘,龙凤; 狂侠; 鸣镝; 散花
K、,十八路护手钩,龙凤
K、,伏魔铲法,风云
K、,乱环诀,狂侠; 鸣镝
K、,铁牌挟剑三十六路盘打,鸣镝
K、,铁琵琶,牧野
K、,玄门拂尘八法,散花
K、,七十二手金锤,联剑
K、,大力金钢杵,白发; 七剑
K、,金刚杵,武当
K、,凳拐,江湖
K、,马回回锤法,江湖
K、,双环八诀,弹指
K、,三棱透骨锥法,草莽
L、,内功、气功,返回最上端
L、,天一罡气,女帝
L、,坎离气功,大唐
L、,纯阳罡气,大唐; 天骄; 狂侠; 鸣镝; 广陵
L、,混元一炁（气）功,龙凤; 天骄; 狂侠; 鸣镝; 散花; 广陵; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 剑网
L、,混元真力,散花
L、,混玄一煞功,广陵
L、,降龙伏象功,云海
L、,小无相神功,龙凤
L、,（金刚）般若神功,云海; 弹指; 剑网
L、,修罗阴煞功,天骄; 狂侠; 鸣镝; 风云; 联剑; 广陵; 云海; 冰河; 侠骨; 游剑; 牧野; 绝塞
L、,化血神功,冰河
L、,大衍八式,狂侠; 鸣镝; 风云
L、,太清气（玄）功,狂侠; 还剑; 云海; 冰河; 风雷; 游剑; 牧野; 弹指; 绝塞; 剑网
L、,少阳神（玄）功,狂侠; 鸣镝; 还剑; 云海; 冰河; 侠骨; 弹指; 绝塞
L、,少阳罡气,冰河
L、,天雷功,瀚海
L、,龙象功,瀚海; 鸣镝; 风云; 广陵; 冰河; 牧野; 弹指; 绝塞
L、,易筋经,鸣镝
L、,瑜伽气功,冰魄; 冰川; 云海; 弹指
L、,伏象神功,联剑
L、,天龙功,广陵
L、,（先天）太乙神（玄）功,白发; 云海
L、,吹云劲,冰川
L、,太行五玄阴气功,云海
L、,太虚真经心法,冰河
L、,三象归元（神功）,冰河; 侠骨
L、,无形罡气,冰河
L、,火龙功,冰河; 游剑
L、,大玄阴五行气功,冰河
M、,声音,返回最上端
M、,呼魂唤（搜）魄大法,散花; 冰河
M、,狮子吼功,大唐; 慧剑; 天骄; 狂侠; 鸣镝; 风云; 广陵; 江湖; 冰魄; 云海; 冰河; 风雷; 游剑; 牧野; 弹指; 绝塞; 剑网; 幻剑
M、,厉声夺魄,云海
M、,金刚棒喝,鸣镝
M、,龙吟（虎啸）功,还剑; 游剑
N、,轻功、步法、身法,返回最上端
N、,凌空步,女帝
N、,八步赶蝉,女帝; 大唐; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 还剑; 联剑; 广陵; 白发; 塞外; 七剑; 江湖; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网; 草莽; 龙虎
N、,蹑云步法,女帝; 狂侠; 鸣镝; 萍踪; 风雷; 牧野; 剑网
N、,龙形身法,牧野
N、,五禽身法,慧剑
N、,穿花绕树,大唐; 瀚海; 鸣镝; 萍踪; 散花; 联剑; 冰川; 云海; 游剑; 牧野
N、,登萍渡水,大唐; 慧剑; 散花; 江湖; 冰川; 冰河; 草莽
N、,陆地飞腾（行）,大唐; 狂侠; 鸣镝; 联剑; 江湖; 冰川; 云海; 冰河; 游剑; 草莽
N、,登云纵（踪）,大唐; 龙凤; 狂侠; 云海
N、,一鹤冲天（霄、宵）,大唐; 龙凤; 慧剑; 狂侠; 武当; 侠骨; 游剑; 牧野
N、,九宫步法,风雷
N、,天罡步法,鸣镝
N、,移形（步）换位（形）,龙凤; 狂侠; 瀚海; 云海
N、,轻形换影,还剑
N、,七步追魂步法,龙凤
N、,醉八仙步（身）法,龙凤; 天骄; 狂侠; 瀚海; 鸣镝; 侠骨; 游剑; 弹指; 幻剑
N、,大挪移,龙凤
N、,四象步法,龙凤
N、,俊鹃摩云,龙凤
N、,草上飞,慧剑; 风雷; 游剑; 弹指
N、,迷踪步法,联剑
N、,天罗步法,天骄; 云海; 冰河; 风雷; 侠骨; 牧野; 弹指
N、,踏雪无痕,狂侠; 瀚海; 云海; 风雷; 游剑; 牧野; 绝塞; 幻剑
N、,细胸巧翻云,狂侠; 塞外; 龙虎
N、,比翼双（齐）飞,狂侠; 广陵; 侠骨; 绝塞
N、,太极十三势,白发
N、,太极行功,草莽
N、,八卦步法,散花
N、,黄鹄冲霄,联剑; 游剑
N、,凌云纵,联剑
N、,燕子三抄水,广陵; 云海; 游剑
N、,盘陀功,七剑
N、,猫鹰扑击,江湖; 冰川; 云海
N、,一苇渡江,冰魄
N、,蜻蜓点水,冰魄
N、,龟藏豹隐身法,云海
N、,五行步法,风雷
N、,反五行步法,风雷
N、,明驼千里,绝塞
O、,防御,返回最上端
O、,童子功,女帝; 慧剑; 狂侠; 鸣镝; 萍踪; 联剑; 广陵; 白发; 武当; 七剑; 江湖; 云海; 侠骨; 牧野; 弹指
O、,铁布衫,女帝; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 白发; 塞外; 七剑; 江湖; 冰川; 云海; 冰河; 风雷; 游剑; 绝塞; 草莽
O、,金钟罩,女帝; 大唐; 龙凤; 慧剑; 天骄; 狂侠; 风云; 萍踪; 散花; 联剑; 七剑; 江湖; 冰川; 云海; 冰河; 风雷; 侠骨; 龙虎
